universe,symbol,name,market,source,as_of
NASDAQ100,TXN,Texas Instruments,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,TRI,Thomson Reuters,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,VRSK,Verisk Analytics,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,VRTX,Vertex Pharmaceuticals,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,WMT,Walmart,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,WBD,Warner Bros. Discovery,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,WDC,Western Digital,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,WDAY,"Workday, Inc.",NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,XEL,Xcel Energy,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ZS,Zscaler,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
