universe,symbol,name,market,source,as_of
KOSPI200,012750.KS,에스원,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,375500.KS,DL이앤씨,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,028670.KS,팬오션,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,457190.KS,이수스페셜티케미컬,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,204320.KS,HL만도,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,004990.KS,롯데지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,139480.KS,이마트,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,009970.KS,영원무역홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,007340.KS,DN오토모티브,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000240.KS,한국앤컴퍼니,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006360.KS,GS건설,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,026960.KS,동서,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,004370.KS,농심,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,051600.KS,한전KPS,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,071970.KS,HD현대마린엔진,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,282330.KS,BGF리테일,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,011210.KS,현대위아,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,008930.KS,한미사이언스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,008770.KS,호텔신라,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,103140.KS,풍산,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,030000.KS,제일기획,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,081660.KS,미스토홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,120110.KS,코오롱인더,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,161890.KS,한국콜마,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,007070.KS,GS리테일,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,192820.KS,코스맥스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,112610.KS,씨에스윈드,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000120.KS,CJ대한통운,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,001430.KS,세아베스틸지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,002790.KS,아모레퍼시픽홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,001800.KS,오리온홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,017960.KS,한국카본,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,298020.KS,효성티앤씨,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006280.KS,녹십자,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,361610.KS,SK아이이테크놀로지,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006040.KS,동원산업,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,192080.KS,더블유게임즈,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,069620.KS,대웅제약,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,073240.KS,금호타이어,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,034230.KS,파라다이스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,007310.KS,오뚜기,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,004000.KS,롯데정밀화학,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,093370.KS,후성,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000080.KS,하이트진로,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,300720.KS,한일시멘트,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003090.KS,대웅,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000210.KS,DL,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,185750.KS,종근당,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003240.KS,태광산업,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,280360.KS,롯데웰푸드,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005300.KS,롯데칠성,KOSPI,Naver Finance KPI200,2026-06-04
