universe,symbol,name,market,source,as_of
KOSDAQ150,323280.KQ,Taesung,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,336570.KQ,Won Tech Co,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,204270.KQ,Jntc,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,304100.KQ,Saltlux,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,357780.KQ,Soulbrain,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,293490.KQ,Kakao Games,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,348210.KQ,Nextin,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,277810.KQ,Rainbow Robotics,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,352480.KQ,C C International,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,383310.KQ,Ecopro HN Co,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,195940.KQ,HK Inno.N,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,058970.KQ,Emro,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,257720.KQ,Silicon 2,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,348370.KQ,EnChem,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,376300.KQ,Dear U,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,211050.KQ,Incar Financial Service,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,388720.KQ,Yuilrobotics,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,399720.KQ,Gaonchips,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,310210.KQ,Voronoi,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,403870.KQ,HPSP,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,328130.KQ,Lunit,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,365340.KQ,SungEel HiTech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,358570.KQ,GI Innovation,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,445680.KQ,Curiox BioSystems,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,417200.KQ,LS Materials,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,460930.KQ,Hyundai Hyms,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,347850.KQ,DND PharmaTech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,466100.KQ,Clobot,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
